Name,Stock Level,Min Level,Unit,Unit Price,Currency,SKU,Supplier,Category,Last Ordered,Notes,Capacity,EAN / UPC,Retail Price,Wholesale Price,Link
Unscented Natural Soap Bar - Hypoallergenic & Fragrance-Free - Orange Tumeric Clove,0,,pieces,,USD,,,,1970-01-01,,0,,6,,https://app.inventora.com/products/dZDNFfFj6Udm8PMbZbMq8T/details
Vegan Soy Blend Candle - Clean Burning & Hand-Poured (Choose Your Scent) - Storyteller,1,,pieces,,USD,SOYCANDLE-3,,,1970-01-01,,0,,8,,https://app.inventora.com/products/trfSVjHFcS6KGUFUNtWjfk/details
Very Berry,-19,,pieces,,USD,61673114093301,,,1970-01-01,,0,,8,,https://app.inventora.com/products/842oZiAW5j23ifZRYV6YwA/details
VIP Golden Box,100,,pieces,,USD,,,,1970-01-01,,0,,20000,,https://app.inventora.com/products/jSKATHn6SWK2iurD37XLFx/details
Winter Apple Artisan Soap by Soapyfluffs – Exfoliating & Fragrant,9,,pieces,,USD,61673111393653,,,1970-01-01,,0,,6,,https://app.inventora.com/products/gyV1f9J7ZHxpjhsDW9JCsc/details
Winter Desert,0,,pieces,,USD,61673111240469,,,1970-01-01,,0,,6,,https://app.inventora.com/products/pFd8f6Le7VBaLhPrgx6n9H/details
Winter Vanilla Pound Cake,0,,pieces,,USD,61673115350389,,,1970-01-01,,0,,8,,https://app.inventora.com/products/2hX4Rr96YCZy3x3bTRP1Ft/details
Yummy Gummy,0,,pieces,,USD,61673113860821,,,1970-01-01,,0,,6,,https://app.inventora.com/products/r2XawyohndmvjWvr5nDSBc/details
Chocolate Love Soy Candle - A Timeless Blend of Chocolate and Vanilla 2,1,,pieces,,USD,61673116294229,,,1970-01-01,,0,,8,,https://app.inventora.com/products/oyzse94FBNr3eK2rVzf9s9/details
"Handmade Scented Soap Bar - Choose Your Fragrance (Lavender, Vanilla, etc.) - Snuggled Up",3,,pieces,,USD,,,,1970-01-01,,0,,6,,https://app.inventora.com/products/fLvWee8FTM1GwNdQXPzTeN/details
"Handmade Scented Soap Bar - Choose Your Fragrance (Lavender, Vanilla, etc.) - Cherry Blossom",25,,pieces,,USD,,,,1970-01-01,,0,,6,,https://app.inventora.com/products/vC4NhW6BHiHVYsUZmpmdhr/details
"Handmade Scented Soap Bar - Choose Your Fragrance (Lavender, Vanilla, etc.) - Oat & Honey",13,,pieces,,USD,,,,1970-01-01,,0,,6,,https://app.inventora.com/products/7HgkYtDqB7XegduQbQe5Ju/details
"Handmade Scented Soap Bar - Choose Your Fragrance (Lavender, Vanilla, etc.) - Baby Powder",8,,pieces,,USD,,,,1970-01-01,,0,,6,,https://app.inventora.com/products/eyQedK8n7TovJgDHvftcue/details
"Handmade Scented Soap Bar - Choose Your Fragrance (Lavender, Vanilla, etc.) - Orange Soda Pop",7,,pieces,,USD,,,,1970-01-01,,0,,6,,https://app.inventora.com/products/8C5eipnjPZVkYAfciNMkRM/details
"Handmade Scented Soap Bar - Choose Your Fragrance (Lavender, Vanilla, etc.) - Raspberry Mojito",10,,pieces,,USD,,,,1970-01-01,,0,,6,,https://app.inventora.com/products/e9LYszRsfZMgo6bfqiy6od/details
"Handmade Scented Soap Bar - Choose Your Fragrance (Lavender, Vanilla, etc.) - Cherry Bomb",15,,pieces,,USD,,,,1970-01-01,,0,,6,,https://app.inventora.com/products/8iSv1wVjz8ZMCbRYceTMuD/details
Huckle Berry - Whipped Sugar Scrub | Soapy Fluffs,10,,pieces,,USD,61673113587061,,,1970-01-01,,0,,5,,https://app.inventora.com/products/8nkG4VfpwDdg7bMV8qDgXG/details
"Mahogany Teakwood Soy Candle – Earthy, Woodsy & Fresh Scent | SoapyFluffs",0,,pieces,,USD,61673111839221,,,1970-01-01,,0,,8,,https://app.inventora.com/products/qsUiRCeT7rWCNo6yMXRYuq/details
Peppermint Kiss Body Butter – Ultra-Hydrating & Nourishing Skincare | SoapyFluffs,6,,pieces,,USD,61673111683253,,,1970-01-01,,0,,5,,https://app.inventora.com/products/1eUNWcNH5hoExX9Rk9vthQ/details
